,Sex,Strand,Year Level,Section,Number of Years in AdDU SHS,SBQ1,SBQ2,SBQ3,SBQ4,SBQ5,SBQ6,SBQ7,SBQ8,SBQ9,SBQ10,SBQ11,SBQ12,SBQ13,SBQ14,SBQ15,Spending Behavior,IQ1,IQ2,IQ3,IQ4,IQ5,IQ6,IQ7,IQ8,IQ9,IQ10,Influences,PCQ1,PCQ2,PCQ3,PCQ4,PCQ5,PCQ6,PCQ7,PCQ8,PCQ9,PCQ10,Perceived Changes,,,,
18,2,2,2,52,2,3,4,3,3,3,4,4,4,3,3,4,3,3,3,3,3.333333333,2,2,3,3,3,3,3,4,3,3,2.9,4,4,4,4,3,4,4,4,3,4,3.8,,,,
18,1,1,2,45,1,2,4,3,3,2,2,3,3,3,3,4,3,3,1,2,2.733333333,3,3,2,3,3,3,2,4,3,2,2.8,3,4,4,4,3,3,4,4,3,3,3.5,,,,
19,1,1,2,45,2,3,4,3,2,4,2,3,4,4,3,4,3,2,3,3,3.133333333,3,3,3,4,3,3,3,3,3,4,3.2,4,4,3,3,3,3,3,3,3,3,3.2,,,,
18,2,2,2,50,2,4,4,3,3,4,3,4,4,3,3,4,2,2,3,3,3.266666667,4,3,3,2,4,3,2,3,2,4,3,4,3,3,4,3,3,4,3,3,4,3.4,,,,
18,2,1,1,3,1,3,3,2,2,3,2,4,3,3,2,2,2,4,3,2,2.666666667,3,3,2,2,4,3,2,4,3,4,3,3,2,4,4,2,2,3,2,2,4,2.8,,,,
18,2,2,2,53,2,3,4,3,4,4,3,4,3,4,2,4,3,2,4,3,3.333333333,3,3,2,4,4,2,2,4,2,4,3,4,4,4,4,1,4,4,4,2,3,3.4,,,,
17,1,2,2,50,2,2,4,3,3,4,3,3,3,3,3,3,2,3,3,2,2.933333333,3,3,2,3,3,3,2,3,2,3,2.7,3,2,3,3,4,3,3,3,3,3,3,,,,
18,2,1,2,47,2,3,3,4,3,4,3,4,4,4,3,4,2,2,1,3,3.133333333,3,2,3,3,3,3,3,4,3,3,3,3,3,4,4,4,4,4,4,3,4,3.7,,,,
17,2,1,2,47,2,3,3,4,3,3,2,3,4,3,2,4,4,4,3,3,3.2,3,3,2,2,3,3,2,3,2,3,2.6,3,3,3,4,3,3,3,3,2,3,3,,,,
17,2,1,1,4,1,1,3,1,4,2,2,4,3,3,3,4,1,3,1,1,2.4,3,3,3,4,3,2,3,4,3,4,3.2,3,4,4,4,3,4,3,3,2,3,3.3,,,,
17,1,1,1,3,1,2,3,4,3,3,2,4,4,3,3,4,2,2,2,2,2.866666667,4,4,3,4,3,3,3,4,2,4,3.4,4,3,3,4,3,4,4,3,3,4,3.5,,,,
17,1,1,1,1,1,3,3,4,4,4,3,4,4,3,3,4,2,2,3,2,3.2,3,2,2,3,3,2,3,3,1,2,2.4,2,3,4,4,3,3,3,4,3,3,3.2,,,,
17,1,1,2,43,2,2,4,3,3,4,4,4,3,4,3,4,3,3,2,2,3.2,3,3,3,4,4,3,3,4,2,3,3.2,4,4,4,4,4,4,4,4,3,4,3.9,,,,
18,2,2,2,53,2,3,4,3,3,4,4,4,3,4,3,4,4,2,4,3,3.466666667,4,3,2,4,4,4,3,4,3,4,3.5,3,3,4,4,3,4,4,4,3,4,3.6,,,,
18,2,2,2,50,2,3,3,4,3,3,3,4,4,4,3,3,3,3,3,4,3.333333333,3,2,2,3,3,2,3,4,2,3,2.7,3,3,3,4,4,4,3,3,3,3,3.3,,,,
17,2,1,1,7,1,2,3,3,1,3,3,3,3,3,3,2,2,2,3,2,2.533333333,3,1,1,4,3,1,3,4,1,2,2.3,4,3,3,3,3,4,4,3,3,4,3.4,,,,
19,1,2,2,53,2,2,3,3,3,3,2,4,4,4,3,4,3,3,3,2,3.066666667,3,3,2,4,3,2,3,4,2,4,3,3,3,3,4,1,3,4,3,3,3,3,,,,
18,2,1,2,47,2,3,4,3,3,4,4,4,4,4,3,1,3,3,4,2,3.266666667,4,4,2,4,4,4,3,3,4,3,3.5,3,2,3,3,3,2,3,3,3,3,2.8,,,,
18,2,3,2,56,2,2,4,2,2,4,4,4,4,4,3,4,2,3,4,3,3.266666667,3,2,2,4,3,3,2,4,2,3,2.8,3,2,4,4,1,4,3,4,3,4,3.2,,,,
18,2,2,2,50,2,4,4,4,3,4,3,4,4,4,4,4,3,2,4,3,3.6,4,1,3,2,3,3,2,4,3,4,2.9,4,4,4,4,4,4,4,4,4,4,4,,,,
18,2,2,2,51,2,3,4,3,4,4,3,2,3,3,2,4,3,3,1,2,2.933333333,3,2,2,3,4,3,3,3,3,3,2.9,3,3,3,4,3,3,4,4,2,4,3.3,,,,
18,2,2,2,53,2,4,2,2,3,1,3,3,3,4,2,2,4,3,4,4,2.933333333,3,3,4,1,3,4,3,2,3,4,3,4,3,3,4,3,3,3,3,2,4,3.2,,,,
17,2,1,1,9,1,4,3,3,3,3,2,4,4,3,2,3,3,3,1,4,3,4,4,3,2,3,3,2,3,3,4,3.1,4,3,4,4,3,4,4,3,2,4,3.5,,,,
18,2,1,2,44,2,3,3,2,2,3,4,4,4,3,4,4,3,2,4,3,3.2,3,1,1,2,1,1,2,4,2,4,2.1,4,2,4,4,3,4,4,2,4,4,3.5,,,,
18,1,2,2,51,2,3,3,4,3,4,4,4,4,4,3,3,2,2,4,2,3.266666667,3,3,3,3,3,3,3,4,2,4,3.1,3,4,4,4,4,4,4,4,3,4,3.8,,,,
18,2,2,2,51,2,3,4,2,3,3,4,4,4,4,4,4,3,2,4,4,3.466666667,4,4,3,3,3,4,4,4,2,4,3.5,2,2,4,4,4,4,4,4,4,4,3.6,,,,
16,2,1,1,1,1,1,3,4,3,4,3,4,4,4,3,4,3,2,1,1,2.933333333,4,3,2,4,3,3,1,3,1,4,2.8,3,3,3,4,3,4,3,3,3,3,3.2,,,,
16,2,1,1,9,1,3,3,3,2,3,3,3,4,3,3,3,3,2,3,3,2.933333333,3,3,2,2,3,3,3,4,3,4,3,4,3,4,4,3,3,3,3,3,4,3.4,,,,
18,2,1,2,42,2,2,3,3,3,3,3,3,4,4,3,4,4,3,2,2,3.066666667,3,4,2,3,3,4,3,3,1,3,2.9,3,2,3,4,2,3,4,3,2,4,3,,,,
18,2,1,2,44,2,2,4,3,3,4,3,4,4,4,2,4,3,4,4,2,3.333333333,4,3,1,4,3,2,3,3,3,3,2.9,3,3,3,3,3,3,3,3,3,3,3,,,,
18,1,1,2,42,2,3,3,3,4,4,4,4,4,4,2,4,3,4,4,4,3.6,3,3,2,2,4,3,2,4,3,4,3,3,2,3,4,4,4,4,4,3,3,3.4,,,,
17,2,1,1,3,1,2,3,2,2,4,2,4,4,3,2,4,2,2,2,2,2.666666667,3,2,2,3,3,2,3,2,3,3,2.6,3,2,3,3,3,3,3,2,2,3,2.7,,,,
18,2,2,2,51,2,4,3,3,4,4,4,4,4,4,2,4,2,3,4,4,3.533333333,3,4,3,2,3,2,4,3,3,4,3.1,4,4,4,4,4,4,2,4,2,4,3.6,,,,
18,1,2,2,50,2,2,3,4,2,4,4,3,4,4,3,4,2,3,3,2,3.133333333,3,2,2,4,4,2,3,4,2,2,2.8,4,4,3,4,3,4,4,4,3,4,3.7,,,,
17,2,1,1,8,1,4,4,3,3,2,2,4,4,4,4,4,2,2,4,4,3.333333333,3,3,3,2,3,3,3,3,3,3,2.9,4,3,4,4,3,4,4,4,4,4,3.8,,,,
17,2,1,1,4,1,4,4,3,3,3,3,4,4,4,4,4,4,3,4,4,3.666666667,3,3,4,2,3,2,4,4,3,4,3.2,4,3,3,4,4,4,4,3,4,4,3.7,,,,
17,2,1,1,7,1,3,4,3,3,3,4,4,4,3,2,3,3,3,3,3,3.2,3,4,2,2,3,3,3,3,4,4,3.1,3,3,3,4,3,4,3,4,3,4,3.4,,,,
18,1,5,2,70,2,2,4,4,4,4,4,4,4,4,4,4,3,3,2,3,3.533333333,4,1,2,3,4,2,3,4,2,4,2.9,3,3,3,4,4,4,3,4,4,4,3.6,,,,
19,2,1,2,46,2,3,3,4,4,4,3,4,3,4,3,4,3,3,3,3,3.4,2,3,2,4,3,2,3,3,3,3,2.8,3,3,3,3,3,3,3,3,3,4,3.1,,,,
18,1,5,2,75,2,2,3,3,3,4,3,4,4,4,2,3,2,2,3,2,2.933333333,4,2,3,3,4,2,3,4,3,4,3.2,4,3,4,4,4,4,3,3,2,4,3.5,,,,
18,1,5,2,74,2,3,4,4,4,3,4,4,4,4,3,3,3,3,4,3,3.533333333,3,3,3,3,3,3,3,3,4,3,3.1,3,4,4,4,3,3,4,4,4,3,3.6,,,,
17,1,3,2,67,2,2,3,4,3,3,4,4,4,3,4,3,3,4,2,2,3.2,3,3,2,3,3,2,4,4,2,4,3,3,3,4,4,4,3,4,4,3,4,3.6,,,,
17,2,1,1,9,1,4,3,2,3,3,1,1,3,3,2,3,3,4,4,4,2.866666667,3,4,2,1,2,4,1,3,3,4,2.7,4,2,3,4,3,2,4,2,2,2,2.8,,,,
18,2,2,2,50,2,3,4,3,3,3,4,4,4,4,2,4,3,3,4,4,3.466666667,4,3,3,3,3,4,4,4,4,4,3.6,4,3,4,4,3,4,4,4,3,4,3.7,,,,
17,2,3,1,26,1,2,4,2,3,4,4,4,4,4,4,4,3,1,4,2,3.266666667,4,4,2,3,3,3,2,4,3,3,3.1,2,2,3,4,4,4,3,3,4,4,3.3,,,,
17,1,1,1,6,1,3,3,4,3,3,3,4,4,3,2,3,3,3,3,3,3.133333333,3,3,2,3,3,3,3,3,2,3,2.8,3,3,3,4,3,4,3,3,3,3,3.2,,,,
16,2,1,1,3,1,2,2,3,2,3,3,4,2,3,3,4,1,3,3,2,2.666666667,1,1,1,4,2,1,4,3,1,3,2.1,2,1,3,4,2,4,3,3,2,3,2.7,,,,
18,2,2,2,50,2,4,4,3,3,3,3,4,4,3,3,4,1,1,4,4,3.2,3,3,3,2,4,3,2,3,3,3,2.9,3,2,3,4,3,4,3,3,2,4,3.1,,,,
16,2,1,1,3,1,3,3,1,1,4,4,2,4,2,4,4,4,4,3,4,3.133333333,4,2,2,1,2,1,2,4,2,3,2.3,4,1,3,4,4,2,4,4,4,4,3.4,,,,
17,2,2,2,51,2,2,3,4,4,3,2,4,3,3,2,4,3,3,1,2,2.866666667,3,3,3,2,3,3,3,3,3,3,2.9,3,4,3,2,3,3,3,2,3,3,2.9,,,,
18,2,2,2,55,2,2,3,4,2,4,2,3,3,4,3,4,2,2,4,4,3.066666667,2,1,1,3,2,3,3,3,3,4,2.5,1,4,4,4,4,3,4,4,3,4,3.5,,,,
18,2,2,2,55,2,3,3,3,3,3,4,4,4,4,3,4,3,2,4,1,3.2,4,4,2,3,3,3,3,4,2,4,3.2,3,3,3,4,3,4,4,4,3,3,3.4,,,,
16,2,1,1,8,1,2,4,4,4,4,3,4,4,4,3,2,2,2,3,2,3.133333333,3,3,2,1,3,2,3,3,2,3,2.5,4,4,4,4,4,4,3,4,3,3,3.7,,,,
19,1,2,2,51,2,2,3,3,2,3,2,3,3,3,2,3,2,2,2,2,2.466666667,2,3,2,3,3,2,2,3,2,3,2.5,3,2,3,3,3,3,3,3,2,3,2.8,,,,
19,2,2,2,50,2,3,3,3,3,4,3,2,4,4,3,4,4,3,3,3,3.266666667,4,3,2,3,4,3,3,4,2,4,3.2,3,3,4,4,4,2,3,4,3,4,3.4,,,,
18,2,2,2,55,2,3,3,3,3,3,4,4,4,4,3,3,4,3,4,3,3.4,3,3,2,2,3,3,2,3,3,4,2.8,2,3,3,4,3,4,4,3,2,4,3.2,,,,
18,2,2,2,52,2,3,3,4,4,4,3,4,4,4,3,3,4,4,4,4,3.666666667,3,4,2,3,4,2,3,4,2,3,3,3,4,3,4,3,3,3,4,2,3,3.2,,,,
18,2,2,2,50,2,2,4,4,4,4,3,3,4,4,3,3,3,2,2,2,3.133333333,3,2,3,4,4,3,3,4,2,4,3.2,3,3,3,4,1,4,3,3,3,4,3.1,,,,
18,2,3,2,60,2,3,3,3,3,3,2,3,4,4,2,3,2,2,3,3,2.866666667,4,3,3,3,3,3,3,3,2,3,3,3,3,3,4,3,3,3,3,2,3,3,,,,
18,2,5,2,71,2,3,3,3,3,4,3,4,3,3,2,4,2,3,4,2,3.066666667,3,3,3,3,3,3,3,3,3,3,3,3,2,3,4,3,4,3,3,2,4,3.1,,,,
18,2,2,2,51,2,3,3,3,2,3,2,3,3,3,2,2,2,3,3,3,2.666666667,3,2,2,1,3,3,2,3,3,4,2.6,3,2,2,4,2,3,4,2,2,2,2.6,,,,
17,2,1,1,3,1,1,4,4,4,4,4,4,4,4,4,4,3,2,2,1,3.266666667,4,3,2,4,3,2,2,4,2,3,2.9,3,3,4,3,3,3,3,4,3,4,3.3,,,,
19,1,2,2,53,2,2,4,4,3,4,4,4,4,4,3,2,1,2,3,3,3.133333333,3,4,2,3,2,3,4,4,1,4,3,4,3,4,4,4,4,4,4,4,4,3.9,,,,
17,2,2,2,52,2,2,4,4,3,3,3,4,4,4,2,3,3,2,3,2,3.066666667,3,2,2,4,3,2,3,4,2,3,2.8,3,3,4,4,4,3,3,3,2,3,3.2,,,,
17,2,1,1,2,1,2,4,3,3,3,2,3,3,3,3,3,3,3,3,3,2.933333333,4,4,3,2,3,4,3,4,3,3,3.3,3,3,3,4,3,3,3,3,3,3,3.1,,,,
17,2,1,1,9,1,3,3,4,4,4,4,4,4,4,3,4,4,3,4,3,3.666666667,4,3,2,4,4,3,4,4,2,4,3.4,4,4,4,4,4,4,3,4,2,4,3.7,,,,
17,2,1,1,3,1,4,3,2,2,4,3,4,4,4,3,4,2,3,3,2,3.133333333,4,3,3,2,3,3,3,4,3,4,3.2,4,2,3,4,3,4,3,3,3,4,3.3,,,,
16,2,5,1,30,1,2,3,2,2,4,2,4,4,4,3,4,2,1,3,2,2.8,3,3,2,3,3,2,3,3,2,3,2.7,3,2,3,3,3,3,3,3,2,3,2.8,,,,
18,2,5,2,71,2,3,4,3,2,4,2,4,4,4,3,4,3,2,4,3,3.266666667,3,4,2,2,3,4,3,3,2,4,3,3,2,3,4,3,4,4,2,2,4,3.1,,,,
17,2,5,2,72,2,2,4,2,3,4,4,3,4,3,2,4,3,3,3,2,3.066666667,3,3,3,2,2,3,3,4,3,3,2.9,3,2,3,4,3,3,3,4,2,4,3.1,,,,
18,2,5,2,72,2,3,3,3,3,4,4,4,3,3,3,2,3,2,2,3,3,3,3,2,2,2,2,3,4,2,4,2.7,3,4,4,4,3,4,3,4,4,4,3.7,,,,
18,2,5,2,71,2,3,3,2,2,2,2,3,3,3,2,4,2,2,3,3,2.6,3,3,2,1,2,3,2,2,3,4,2.5,3,2,2,4,3,3,2,3,2,4,2.8,,,,
18,2,2,2,55,2,3,3,2,2,4,2,4,4,4,3,4,3,3,3,3,3.133333333,3,4,2,1,3,3,3,3,3,4,2.9,4,1,4,4,4,4,4,4,4,4,3.7,,,,
18,2,2,2,55,1,4,3,4,4,4,4,4,4,4,3,3,4,2,3,4,3.6,4,4,2,2,4,3,3,4,4,4,3.4,4,4,4,4,4,4,4,4,3,4,3.9,,,,
18,2,5,2,72,2,4,3,3,2,3,2,3,3,3,2,4,2,1,4,4,2.866666667,3,2,3,2,2,3,2,4,3,3,2.7,3,2,3,4,4,4,3,3,2,4,3.2,,,,
18,2,2,2,50,2,4,3,3,2,3,4,4,4,4,3,3,3,3,3,2,3.2,3,3,2,3,3,3,3,3,2,3,2.8,3,3,3,4,4,3,3,4,2,4,3.3,,,,
18,2,5,2,73,2,3,4,3,2,3,4,4,4,4,3,1,2,2,2,4,3,4,4,3,4,4,2,2,3,2,4,3.2,3,3,3,4,4,4,4,4,3,4,3.6,,,,
19,1,2,2,53,2,2,3,3,3,2,2,2,3,3,2,3,3,3,3,2,2.6,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,2.9,,,,
18,2,2,2,51,2,2,3,3,3,3,3,4,4,4,2,4,2,3,1,1,2.8,4,2,1,3,2,1,2,4,1,3,2.3,3,3,4,4,3,3,4,3,3,4,3.4,,,,
17,2,3,1,17,1,3,3,3,3,4,3,4,4,4,2,4,3,3,4,3,3.333333333,3,2,1,3,3,3,4,4,3,4,3,4,4,4,4,4,4,4,4,2,4,3.8,,,,
18,2,3,1,28,1,2,3,2,3,4,4,2,4,4,3,1,3,3,3,4,3,3,2,2,3,4,2,3,4,1,3,2.7,4,3,4,4,4,3,3,4,3,4,3.6,,,,
17,1,3,2,68,2,2,4,4,4,3,4,3,3,4,2,3,3,3,3,3,3.2,3,1,1,3,2,2,4,4,1,2,2.3,2,3,3,4,3,3,2,3,2,3,2.8,,,,
17,1,3,1,23,1,3,3,2,1,3,2,2,4,4,2,2,2,2,3,4,2.6,4,4,1,1,3,3,1,4,2,4,2.7,4,2,4,4,2,1,3,2,2,2,2.6,,,,
17,1,3,2,66,2,3,4,2,2,4,2,3,3,3,2,4,3,3,4,2,2.933333333,3,2,2,2,3,2,2,4,3,4,2.7,3,2,3,4,3,4,3,3,3,3,3.1,,,,
17,2,3,1,18,1,2,3,3,3,4,3,3,3,4,2,4,2,2,3,2,2.866666667,4,3,2,4,2,1,2,4,2,3,2.7,4,3,4,4,3,3,3,3,2,3,3.2,,,,
16,2,3,1,18,1,3,3,3,3,4,2,4,4,4,2,4,2,2,4,1,3,3,1,1,2,3,2,3,4,2,3,2.4,2,3,3,4,3,3,3,2,2,3,2.8,,,,
17,1,3,2,59,2,2,4,3,1,4,4,4,4,4,4,4,1,1,2,1,2.866666667,3,3,3,3,3,3,3,3,3,1,2.8,2,2,3,3,3,3,3,3,3,3,2.8,,,,
18,1,2,2,51,2,2,4,3,3,4,2,4,4,4,4,4,1,2,4,1,3.066666667,3,3,2,3,3,2,3,3,3,4,2.9,3,3,3,4,4,4,3,3,3,4,3.4,,,,
16,2,3,1,18,1,4,3,2,2,3,1,4,4,2,2,2,3,4,4,3,2.866666667,4,4,3,2,4,2,2,4,4,4,3.3,2,2,3,4,3,4,3,2,2,2,2.7,,,,
18,1,3,2,58,2,2,4,3,1,3,2,4,4,4,4,1,2,2,3,2,2.733333333,3,3,3,3,2,2,1,3,4,4,2.8,3,1,3,4,3,3,3,4,3,2,2.9,,,,
17,2,3,2,68,2,3,4,3,3,3,3,4,4,4,2,4,1,2,3,3,3.066666667,4,4,2,3,3,3,2,3,2,4,3,3,3,4,4,3,4,4,3,2,3,3.3,,,,
18,1,5,2,76,2,3,4,4,2,4,3,4,4,4,3,4,2,3,4,4,3.466666667,3,3,2,2,3,3,2,4,2,3,2.7,3,4,4,4,3,3,4,4,2,3,3.4,,,,
18,1,3,2,64,2,3,4,3,3,3,2,2,4,4,3,4,3,3,4,3,3.2,3,2,2,3,3,3,4,3,3,3,2.9,4,3,3,3,3,3,3,3,3,4,3.2,,,,
17,2,5,2,70,2,3,3,3,3,4,3,3,3,3,3,4,2,2,3,3,3,3,3,2,2,3,2,3,3,2,3,2.6,3,3,3,4,3,3,3,3,2,3,3,,,,
17,2,3,1,26,1,3,4,4,4,4,3,4,4,4,3,3,3,3,2,2,3.333333333,4,4,3,3,4,3,3,4,3,4,3.5,3,3,4,4,4,4,4,3,3,4,3.6,,,,
17,2,3,2,64,2,2,3,3,2,4,2,3,3,3,2,3,2,2,2,2,2.533333333,3,3,2,2,2,2,2,3,2,3,2.4,2,2,3,3,3,3,3,3,2,3,2.7,,,,
18,1,3,2,64,2,2,4,4,3,4,3,3,4,4,3,4,2,3,2,1,3.066666667,4,3,1,4,2,3,1,4,2,4,2.8,4,3,4,4,4,4,4,4,2,4,3.7,,,,
18,1,5,2,72,2,2,4,4,4,3,1,4,4,4,3,3,2,2,3,3,3.066666667,1,2,2,3,3,1,2,3,2,3,2.2,3,3,3,4,4,4,3,2,2,3,3.1,,,,
18,2,2,2,55,2,4,3,2,3,3,4,4,4,4,2,1,2,2,3,3,2.933333333,4,4,3,3,3,3,3,3,2,3,3.1,3,2,3,4,4,4,4,4,3,4,3.5,,,,
16,2,3,1,22,1,2,4,4,4,4,4,4,4,4,3,4,1,1,4,1,3.2,2,2,1,4,3,1,3,4,2,3,2.5,4,4,4,4,3,4,4,4,3,4,3.8,,,,
17,2,5,2,74,2,3,4,3,3,4,2,4,4,4,3,3,3,2,3,3,3.2,4,3,2,2,3,3,3,3,2,3,2.8,3,3,4,4,3,4,4,2,3,4,3.4,,,,
16,1,5,1,31,1,2,3,4,3,4,3,3,4,4,4,3,3,3,3,2,3.2,3,2,2,4,3,3,3,4,2,3,2.9,3,3,3,4,4,4,4,4,4,4,3.7,,,,
17,1,5,1,33,1,3,3,4,4,4,4,4,4,4,4,4,4,3,2,2,3.533333333,3,3,3,3,3,4,4,4,2,4,3.3,4,4,3,4,4,4,4,4,4,4,3.9,,,,
17,2,5,1,31,1,2,3,3,3,4,4,4,4,4,3,4,2,2,2,2,3.066666667,3,3,3,4,3,2,2,4,2,3,2.9,4,3,3,4,4,4,4,4,3,4,3.7,,,,
17,1,5,1,33,1,3,3,4,3,3,3,4,4,4,3,4,3,3,4,3,3.4,3,3,2,2,3,2,3,4,3,4,2.9,3,4,4,4,3,4,4,4,2,4,3.6,,,,
17,2,5,1,31,1,4,4,2,2,3,3,4,4,4,3,4,2,2,3,3,3.133333333,3,4,3,3,3,4,4,3,4,4,3.5,3,2,3,4,4,4,4,3,3,4,3.4,,,,
18,2,5,1,32,1,4,1,4,4,4,4,4,4,4,1,3,4,4,2,4,3.4,2,2,2,3,3,1,1,4,2,4,2.4,3,1,4,4,3,4,4,4,2,2,3.1,,,,
18,1,3,2,60,2,2,4,3,4,4,1,4,4,4,4,4,2,1,4,2,3.133333333,4,3,1,3,2,1,3,4,2,4,2.7,4,4,4,4,3,4,3,2,4,4,3.6,,,,
16,2,3,2,60,2,2,4,3,4,4,1,4,4,4,4,4,2,1,4,2,3.133333333,4,3,1,3,2,1,3,4,2,4,2.7,4,4,4,4,3,4,3,2,4,4,3.6,,,,
